epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.594,1.06599,3.56619,1.62892,0.42149,0.39964,0.38556,0.29646,0.81362,1.97771,1.29493,5.29376e-05,5.29376e-05,5.29376e-05
2,715.748,0.90595,2.11002,1.4926,0.44332,0.48847,0.46113,0.36178,0.79836,1.75111,1.31087,9.54498e-05,9.54498e-05,9.54498e-05
3,1065.31,0.87693,1.80627,1.46207,0.51799,0.57221,0.55647,0.44292,0.76906,1.47893,1.26063,0.000127468,0.000127468,0.000127468
4,1413.5,0.83702,1.57387,1.41934,0.61815,0.59642,0.63943,0.51809,0.71142,1.31514,1.20669,0.000111777,0.000111777,0.000111777
5,1761.63,0.79931,1.39513,1.37887,0.59419,0.63906,0.68234,0.55854,0.68748,1.19403,1.17086,9.6036e-05,9.6036e-05,9.6036e-05
6,2109.93,0.76289,1.20919,1.34582,0.66571,0.67666,0.73322,0.60312,0.65765,1.06306,1.13421,8.0295e-05,8.0295e-05,8.0295e-05
7,2457.96,0.735,1.08279,1.31747,0.67413,0.71938,0.74824,0.62311,0.6467,0.96924,1.12677,6.4554e-05,6.4554e-05,6.4554e-05
8,2805.91,0.70558,0.95773,1.28852,0.74385,0.69518,0.78515,0.65675,0.62495,0.91362,1.10634,4.8813e-05,4.8813e-05,4.8813e-05
9,3153.87,0.68209,0.85787,1.26354,0.76028,0.7277,0.80769,0.68165,0.59411,0.8705,1.07481,3.3072e-05,3.3072e-05,3.3072e-05
10,3501.97,0.65557,0.76532,1.24048,0.77515,0.75147,0.82245,0.6971,0.59044,0.82059,1.06644,1.7331e-05,1.7331e-05,1.7331e-05
